Time, CellIndex, CellVscanning, CellVCutoffHigh, CellVmax, CellVmin, CellVCutoffLow, BalanceDelta, BalanceDeltaFromMinMax, HighestPackTemp, ISAcurrent, mtd1_output, ISAwattHours, ISAampSeconds, ISAampSecondsHB, ISAcAh,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1
Secs,nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu
4.2,   9,   3984,   4200,   4012,   3976,   3208,   36,   36,   27,   3,   1116,   326,   10559,   0,   292
4.3,   9,   3984,   4200,   4012,   3976,   3208,   36,   36,   27,  -2,   1116,   326,   10559,   0,   292
4.4,   10,   3977,   4200,   4012,   3976,   3208,   36,   36,   27,   10,   1116,   326,   10559,   0,   292
4.5,   11,   3984,   4200,   4012,   3976,   3208,   36,   36,   27,   30,   1116,   326,   10559,   0,   292
4.6,   12,   4012,   4200,   4012,   3976,   3208,   37,   36,   28,  -6,   1116,   326,   10559,   0,   292
4.7,   13,   4002,   4200,   4012,   3976,   3208,   37,   36,   27,   24,   1116,   326,   10559,   0,   292
4.8,   13,   4002,   4200,   4012,   3976,   3208,   37,   36,   27,   18,   1116,   326,   10559,   0,   292
4.9,   14,   4004,   4200,   4012,   3976,   3208,   36,   36,   27,   23,   1116,   326,   10559,   0,   292
5,   15,   3993,   4200,   4012,   3976,   3208,   36,   36,   27,   371,   1116,   326,   10560,   0,   292
5.1,   16,   4006,   4200,   4012,   3976,   3208,   36,   36,   27,   66,   1116,   326,   10560,   0,   292
5.2,   17,   3999,   4200,   4012,   3976,   3208,   37,   36,   27,   57,   1116,   326,   10560,   0,   292
5.3,   18,   3987,   4200,   4012,   3976,   3208,   35,   36,   27,   122,   1116,   326,   10560,   0,   292
5.4,   18,   3987,   4200,   4012,   3976,   3208,   35,   36,   27,   7411,   1116,   326,   10560,   0,   292
5.5,   19,   3966,   4200,   4012,   3976,   3208,   37,   36,   27,   48,   1108,   326,   10560,   0,   292
5.6,   20,   3982,   4200,   4012,   3976,   3208,   36,   36,   27,   1114,   1116,   326,   10560,   0,   292
5.7,   21,   3987,   4200,   4012,   3976,   3208,   36,   36,   27,   11,   1116,   326,   10560,   0,   292
5.8,   22,   3987,   4200,   4012,   3976,   3208,   36,   36,   27,   7,   1116,   326,   10560,   0,   292
5.9,   23,   3983,   4200,   4012,   3976,   3208,   36,   36,   27,   496,   1116,   326,   10560,   0,   293
6,   23,   3983,   4200,   4012,   3976,   3208,   36,   36,   27,   7,   1116,   326,   10561,   0,   293
6.1,   24,   3982,   4200,   4012,   3976,   3208,   35,   36,   27,   68,   1116,   326,   10561,   0,   293
6.2,   25,   3983,   4200,   4012,   3976,   3208,   36,   36,   27,   79,   1116,   326,   10561,   0,   293
6.3,   26,   3985,   4200,   4012,   3976,   3208,   36,   36,   27,   2225,   1113,   326,   10561,   0,   293
6.4,   27,   3962,   4200,   4012,   3976,   3208,   36,   36,   27,   6452,   1111,   326,   10561,   0,   293
6.5,   27,   3962,   4200,   4012,   3976,   3208,   36,   36,   27,   7376,   1111,   326,   10562,   0,   293
6.6,   0,   3968,   4200,   4012,   3976,   3208,   35,   36,   27,   7041,   1111,   326,   10563,   0,   293
6.7,   1,   3978,   4200,   4012,   3976,   3208,   36,   36,   27,   7014,   1111,   326,   10563,   0,   293
6.8,   2,   3983,   4200,   4012,   3976,   3208,   36,   36,   28,   7028,   1111,   326,   10564,   0,   293
6.9,   3,   3978,   4200,   4012,   3976,   3207,   35,   36,   28,   7013,   1111,   326,   10565,   0,   293
7,   4,   3982,   4200,   4012,   3976,   3207,   35,   36,   27,   6998,   1111,   326,   10565,   0,   293
7.1,   4,   3982,   4200,   4012,   3976,   3207,   35,   36,   27,   7008,   1111,   326,   10566,   0,   293
7.2,   5,   3978,   4200,   4012,   3976,   3207,   36,   36,   27,   7006,   1111,   326,   10567,   0,   293
7.3,   6,   3969,   4200,   4012,   3976,   3207,   35,   36,   27,   7014,   1111,   326,   10567,   0,   293
7.4,   7,   3960,   4200,   4012,   3976,   3207,   36,   36,   27,   7047,   1111,   326,   10568,   0,   293
7.5,   8,   3961,   4200,   4012,   3976,   3207,   36,   36,   27,   7012,   1111,   326,   10569,   0,   293
7.6,   9,   3969,   4200,   4012,   3976,   3207,   36,   36,   28,   7004,   1111,   326,   10569,   0,   293
